time;voltage
16.1994;0.9882
16.2004;0.9882
16.2014;0.9882
16.2024;0.9882
16.2034;0.9882
16.2044;0.9882
16.2054;0.9882
16.2064;0.9882
16.2074;0.9882
16.2084;0.9882
16.2094;0.9882
16.2104;0.9882
16.2114;0.9882
16.2124;0.9882
16.2134;0.9882
16.2144;0.9882
16.2154;0.9882
16.2164;0.9882
16.2174;0.9882
16.2184;0.9882
16.2194;0.9882
16.2204;0.9882
16.2214;0.9882
16.2224;0.9882
16.2234;0.9882
16.2244;0.9882
16.2254;0.9882
16.2264;0.9882
16.2274;0.9882
16.2284;0.9882
16.2294;0.9882
16.2304;0.9882
16.2314;0.9882
16.2324;0.9882
16.2334;0.9882
16.2344;0.9882
16.2354;0.9882
16.2364;0.9882
16.2374;0.9882
16.2384;0.9882
16.2394;0.9882
16.2404;0.9882
16.2414;0.9882
16.2424;0.9882
16.2434;0.9882
16.2444;0.9882
16.2454;0.9882
16.2464;0.9882
16.2474;0.9882
16.2484;0.9882
16.2494;0.9882
16.2504;0.9882
16.2514;0.9882
16.2524;0.9882
16.2534;0.9882
16.2544;0.9882
16.2554;0.9882
16.2564;0.9882
16.2574;0.9882
16.2584;0.9883
16.2594;0.9883
16.2604;0.9883
16.2614;0.9883
16.2624;0.9883
16.2634;0.9883
16.2644;0.9883
16.2654;0.9883
16.2664;0.9883
16.2674;0.9883
16.2684;0.9883
16.2694;0.9883
16.2704;0.9883
16.2714;0.9883
16.2724;0.9883
16.2734;0.9883
16.2744;0.9883
16.2754;0.9883
16.2764;0.9883
16.2774;0.9883
16.2784;0.9883
16.2794;0.9883
16.2804;0.9883
16.2814;0.9883
16.2824;0.9883
16.2834;0.9883
16.2844;0.9883
16.2854;0.9883
16.2864;0.9883
16.2874;0.9883
16.2884;0.9883
16.2894;0.9883
16.2904;0.9883
16.2914;0.9883
16.2924;0.9883
16.2934;0.9883
16.2944;0.9883
16.2954;0.9883
16.2964;0.9883
16.2974;0.9883
16.2984;0.9883
16.2994;0.9883
16.3004;0.9883
16.3014;0.9883
16.3024;0.9883
16.3034;0.9883
16.3044;0.9883
16.3054;0.9883
16.3064;0.9883
16.3074;0.9883
16.3084;0.9883
16.3094;0.9883
16.3104;0.9883
16.3114;0.9883
16.3124;0.9883
16.3134;0.9883
16.3144;0.9883
16.3154;0.9883
16.3164;0.9883
16.3174;0.9883
16.3184;0.9883
16.3194;0.9883
16.3204;0.9883
16.3214;0.9883
